x t u
0.272207 0.016207 0.492576
0.275485 0.016207 0.491047
0.278763 0.016207 0.489309
0.282040 0.016207 0.487364
0.285318 0.016207 0.485213
0.288595 0.016207 0.482856
0.291873 0.016207 0.480294
0.295151 0.016207 0.477528
0.298428 0.016207 0.474560
0.301706 0.016207 0.471390
0.304983 0.016207 0.468021
0.308261 0.016207 0.464453
0.311538 0.016207 0.460688
0.314816 0.016207 0.456728
0.318094 0.016207 0.452574
0.321371 0.016207 0.448229
0.324649 0.016207 0.443693
0.327926 0.016207 0.438969
0.331204 0.016207 0.434058
0.334482 0.016207 0.428964
0.337759 0.016207 0.423688
0.341037 0.016207 0.418232
0.344314 0.016207 0.412599
0.347592 0.016207 0.406790
0.350870 0.016207 0.400810
0.354147 0.016207 0.394659
0.357425 0.016207 0.388341
0.360702 0.016207 0.381858
0.363980 0.016207 0.375213
0.367258 0.016207 0.368409
0.370535 0.016207 0.361449
0.373813 0.016207 0.354336
0.377090 0.016207 0.347072
0.380368 0.016207 0.339661
0.383645 0.016207 0.332107
0.386923 0.016207 0.324411
0.390201 0.016207 0.316577
0.393478 0.016207 0.308610
0.396756 0.016207 0.300511
0.400033 0.016207 0.292286
0.403311 0.016207 0.283936
0.406589 0.016207 0.275466
0.409866 0.016207 0.266878
0.413144 0.016207 0.258178
0.416421 0.016207 0.249368
0.419699 0.016207 0.240453
0.422977 0.016207 0.231435
0.426254 0.016207 0.222320
0.429532 0.016207 0.213110
0.432809 0.016207 0.203810
0.436087 0.016207 0.194423
0.439365 0.016207 0.184954
0.442642 0.016207 0.175406
0.445920 0.016207 0.165784
0.449197 0.016207 0.156092
0.452475 0.016207 0.146333
0.455753 0.016207 0.136513
0.459030 0.016207 0.126634
0.462308 0.016207 0.116702
0.465585 0.016207 0.106721
0.468863 0.016207 0.096694
0.472140 0.016207 0.086626
0.475418 0.016207 0.076521
0.478696 0.016207 0.066384
0.481973 0.016207 0.056219
0.485251 0.016207 0.046030
0.488528 0.016207 0.035821
0.491806 0.016207 0.025597
0.495084 0.016207 0.015363
0.498361 0.016207 0.005122
0.501639 0.016207 -0.005122
0.504916 0.016207 -0.015363
0.508194 0.016207 -0.025597
0.511472 0.016207 -0.035821
0.514749 0.016207 -0.046030
0.518027 0.016207 -0.056219
0.521304 0.016207 -0.066384
0.524582 0.016207 -0.076521
0.527860 0.016207 -0.086626
0.531137 0.016207 -0.096694
0.534415 0.016207 -0.106721
0.537692 0.016207 -0.116702
0.540970 0.016207 -0.126634
0.544247 0.016207 -0.136513
0.547525 0.016207 -0.146333
0.550803 0.016207 -0.156092
0.554080 0.016207 -0.165784
0.557358 0.016207 -0.175406
0.560635 0.016207 -0.184954
0.563913 0.016207 -0.194423
0.567191 0.016207 -0.203810
0.570468 0.016207 -0.213110
0.573746 0.016207 -0.222320
0.577023 0.016207 -0.231435
0.580301 0.016207 -0.240453
0.583579 0.016207 -0.249368
0.586856 0.016207 -0.258178
0.590134 0.016207 -0.266878
0.593411 0.016207 -0.275466
0.596689 0.016207 -0.283936
0.599967 0.016207 -0.292286
0.603244 0.016207 -0.300511
0.606522 0.016207 -0.308610
0.609799 0.016207 -0.316577
0.613077 0.016207 -0.324411
0.616355 0.016207 -0.332107
0.619632 0.016207 -0.339661
0.622910 0.016207 -0.347072
0.626187 0.016207 -0.354336
0.629465 0.016207 -0.361449
0.632742 0.016207 -0.368409
0.636020 0.016207 -0.375213
0.639298 0.016207 -0.381858
0.642575 0.016207 -0.388341
0.645853 0.016207 -0.394659
0.649130 0.016207 -0.400810
0.652408 0.016207 -0.406790
0.655686 0.016207 -0.412599
0.658963 0.016207 -0.418232
0.662241 0.016207 -0.423688
0.665518 0.016207 -0.428964
0.668796 0.016207 -0.434058
0.672074 0.016207 -0.438969
0.675351 0.016207 -0.443693
0.678629 0.016207 -0.448229
0.681906 0.016207 -0.452574
0.685184 0.016207 -0.456728
0.688462 0.016207 -0.460688
0.691739 0.016207 -0.464453
0.695017 0.016207 -0.468021
0.698294 0.016207 -0.471390
0.701572 0.016207 -0.474560
0.704849 0.016207 -0.477528
0.708127 0.016207 -0.480294
0.711405 0.016207 -0.482856
0.714682 0.016207 -0.485213
0.717960 0.016207 -0.487364
0.721237 0.016207 -0.489309
0.724515 0.016207 -0.491047
0.727793 0.016207 -0.492576
0.731070 0.016207 -0.493896
0.734348 0.016207 -0.495006
0.737625 0.016207 -0.495907
0.740903 0.016207 -0.496598
0.744181 0.016207 -0.497077
0.747458 0.016207 -0.497346
0.750736 0.016207 -0.497405
0.754013 0.016207 -0.497252
0.757291 0.016207 -0.496888
0.760569 0.016207 -0.496314
0.763846 0.016207 -0.495529
0.767124 0.016207 -0.494534
0.770401 0.016207 -0.493329
0.773679 0.016207 -0.491915
0.776957 0.016207 -0.490292
0.780234 0.016207 -0.488462
0.783512 0.016207 -0.486424
0.786789 0.016207 -0.484180
0.790067 0.016207 -0.481731
0.793344 0.016207 -0.479077
0.796622 0.016207 -0.476220
0.799900 0.016207 -0.473162
0.803177 0.016207 -0.469902
0.806455 0.016207 -0.466444
0.809732 0.016207 -0.462787
0.813010 0.016207 -0.458934
0.816288 0.016207 -0.454887
0.819565 0.016207 -0.450647
0.822843 0.016207 -0.446215
0.826120 0.016207 -0.441595
0.829398 0.016207 -0.436787
0.832676 0.016207 -0.431794
0.835953 0.016207 -0.426617
0.839231 0.016207 -0.421260
0.842508 0.016207 -0.415724
0.845786 0.016207 -0.410012
0.849064 0.016207 -0.404126
0.852341 0.016207 -0.398069
0.855619 0.016207 -0.391843
0.858896 0.016207 -0.385450
0.862174 0.016207 -0.378894
0.865452 0.016207 -0.372178
0.868729 0.016207 -0.365304
0.872007 0.016207 -0.358274
0.875284 0.016207 -0.351093
0.878562 0.016207 -0.343763
0.881839 0.016207 -0.336287
0.885117 0.016207 -0.328669
0.888395 0.016207 -0.320911
0.891672 0.016207 -0.313017
0.894950 0.016207 -0.304990
0.898227 0.016207 -0.296834
0.901505 0.016207 -0.288552
0.904783 0.016207 -0.280147
0.908060 0.016207 -0.271624
0.911338 0.016207 -0.262986
0.914615 0.016207 -0.254236
0.917893 0.016207 -0.245378
0.921171 0.016207 -0.236417
0.924448 0.016207 -0.227355
0.927726 0.016207 -0.218196
0.931003 0.016207 -0.208945
0.934281 0.016207 -0.199606
0.937559 0.016207 -0.190182
0.940836 0.016207 -0.180677
0.944114 0.016207 -0.171095
0.947391 0.016207 -0.161441
0.950669 0.016207 -0.151719
